"","k.conf","p.conf","c.conf","o.conf","f.conf","g.conf","s.conf"
"ASV58",96.3173153912658,96.3173153912658,96.3173153912658,96.3173153912658,96.3173153912658,82.3428118347454,82.3428118347454
"ASV59",100,100,100,100,100,100,NA
"ASV60",86.2160050819734,85.1574504349435,83.9028823723247,83.9028823723247,83.9028823723247,NA,NA
"ASV61",88.9851102891406,88.9851102891406,88.0440752533553,88.0440752533553,88.0440752533553,76.0609766502436,76.0609766502436
"ASV62",100,100,100,100,100,100,NA
"ASV63",100,100,100,100,100,100,100
"ASV64",96.5779652378511,96.5779652378511,96.5779652378511,96.5779652378511,70.6387990589876,70.6387990589876,70.6387990589876
"ASV65",100,100,100,82.5673223278038,82.5673223278038,81.671106128973,81.671106128973
"ASV66",81.8511374618293,81.8511374618293,81.1431103478399,81.1431103478399,76.5103525568031,76.5103525568031,NA
"ASV67",37.0884461736744,NA,NA,NA,NA,NA,NA
"ASV68",90.6327984596862,90.6327984596862,90.6327984596862,90.6327984596862,90.6327984596862,NA,NA
"ASV69",82.3022229948451,82.3022229948451,82.3022229948451,82.3022229948451,82.3022229948451,NA,NA
"ASV70",96.3775071983233,96.3775071983233,96.3775071983233,96.3775071983233,93.4379334351163,93.4379334351163,79.1782771158243
"ASV71",57.7251164199745,NA,NA,NA,NA,NA,NA
"ASV72",100,100,100,100,100,100,100
"ASV73",100,100,100,100,100,100,100
"ASV74",91.5632417769066,91.5632417769066,91.5632417769066,91.5632417769066,91.5632417769066,91.5632417769066,80.2848334684457
"ASV75",86.7245018020492,86.7245018020492,86.0809314991405,85.1255990661705,85.1255990661705,NA,NA
"ASV76",94.4291102822534,94.4291102822534,93.5774758978568,93.5774758978568,93.5774758978568,91.6312693885125,91.6312693885125
"ASV77",100,100,100,100,70.6501246240484,70.6501246240484,NA
"ASV78",100,98.9341536385818,85.0051379847464,85.0051379847464,85.0051379847464,85.0051379847464,85.0051379847464
"ASV79",93.8952120144685,93.8952120144685,93.8952120144685,93.8952120144685,88.6179733934157,88.6179733934157,88.6179733934157
"ASV80",93.2592722715621,85.7830297476899,80.2718159527568,80.2718159527568,80.2718159527568,80.2718159527568,80.2718159527568
"ASV81",94.2018655054575,89.9245422124436,86.2211213625523,86.2211213625523,86.2211213625523,86.2211213625523,86.2211213625523
"ASV82",91.5849641216075,91.5849641216075,91.5849641216075,89.8205205320628,89.8205205320628,87.0884316587913,73.641721159385
"ASV83",100,100,100,100,100,100,100
"ASV84",54.7471873220062,NA,NA,NA,NA,NA,NA
"ASV85",96.7921300831405,96.7921300831405,96.7921300831405,96.7921300831405,95.9256689625642,94.7963501409291,94.7963501409291
"ASV86",100,96.4923648607986,96.4923648607986,NA,NA,NA,NA
"ASV87",94.9636697097457,94.9636697097457,94.9636697097457,94.9636697097457,94.9636697097457,94.9636697097457,94.9636697097457
"ASV88",88.7095042428783,88.7095042428783,88.7095042428783,88.7095042428783,88.7095042428783,78.1310024273408,78.1310024273408
"ASV89",94.1541711976881,92.3888711938472,84.3781591207163,84.3781591207163,84.3781591207163,84.3781591207163,84.3781591207163
"ASV90",100,100,100,100,91.8457665708896,91.8457665708896,91.8457665708896
"ASV91",89.78548048197,89.78548048197,89.78548048197,89.78548048197,89.78548048197,89.78548048197,89.78548048197
"ASV92",100,100,98.9884066818245,98.9884066818245,98.9884066818245,98.9884066818245,98.9884066818245
"ASV93",94.2837633389639,89.5987649146116,87.8234011239817,87.8234011239817,87.8234011239817,87.8234011239817,87.8234011239817
"ASV94",85.56166734418,85.56166734418,85.56166734418,85.56166734418,85.56166734418,85.56166734418,85.56166734418
"ASV95",94.1267259268758,93.0160562971003,93.0160562971003,91.9091478247272,76.6727375454402,76.6727375454402,76.6727375454402
"ASV96",85.7171108426184,84.9981916426891,84.9981916426891,84.9981916426891,NA,NA,NA
"ASV97",84.0019205419582,84.0019205419582,84.0019205419582,84.0019205419582,84.0019205419582,84.0019205419582,84.0019205419582
"ASV98",99.3296622525147,99.3296622525147,99.3296622525147,99.3296622525147,99.3296622525147,98.1756513306395,98.1756513306395
"ASV99",93.3200319490611,93.3200319490611,93.3200319490611,93.3200319490611,93.3200319490611,93.3200319490611,74.1006206562798
"ASV100",100,100,100,100,92.857088304405,92.857088304405,92.857088304405
"ASV101",97.4838781063041,97.4838781063041,97.4838781063041,97.4838781063041,97.4838781063041,97.4838781063041,97.4838781063041
"ASV102",100,100,100,90.5564110580097,90.5564110580097,90.5564110580097,90.5564110580097
"ASV103",100,100,100,100,100,100,100
"ASV104",100,100,100,100,93.6468096245448,93.6468096245448,93.6468096245448
"ASV105",29.8002496626857,NA,NA,NA,NA,NA,NA
"ASV106",98.4687732564898,98.4687732564898,98.4687732564898,98.4687732564898,92.8434232268058,92.8434232268058,NA
"ASV107",94.36818104236,94.36818104236,94.36818104236,94.36818104236,94.36818104236,91.305100659996,91.305100659996
"ASV108",94.8590536535555,94.8590536535555,94.8590536535555,94.8590536535555,94.8590536535555,94.8590536535555,94.8590536535555
"ASV109",83.9553150149302,83.9553150149302,NA,NA,NA,NA,NA
"ASV110",81.0808740359218,81.0808740359218,81.0808740359218,80.158270752665,80.158270752665,NA,NA
"ASV111",100,100,100,100,100,99.0179543448557,99.0179543448557
"ASV112",89.8048355792917,89.8048355792917,89.8048355792917,88.9370311132586,73.7165113468464,73.7165113468464,73.7165113468464
"ASV113",93.1629636354672,92.0681550424915,86.2022202833293,86.2022202833293,86.2022202833293,NA,NA
"ASV114",93.2159164059153,93.2159164059153,93.2159164059153,93.2159164059153,93.2159164059153,92.2520419110818,92.2520419110818
"ASV115",98.4468826232772,98.4468826232772,98.4468826232772,98.4468826232772,96.5104227583665,95.1563050597782,95.1563050597782
"ASV116",82.8273855674222,82.8273855674222,82.8273855674222,81.7652226377785,81.7652226377785,NA,NA
"ASV117",89.4398683106544,85.0785550118253,85.0785550118253,85.0785550118253,80.7845004773383,75.1878341227372,75.1878341227372
"ASV118",88.6218466458141,88.6218466458141,88.6218466458141,88.6218466458141,86.6363430441106,86.6363430441106,86.6363430441106
"ASV119",100,100,99.087134623268,99.087134623268,97.780212594616,82.0922231762653,82.0922231762653
